id,sort,menu,section,section_ar,category,category_ar,name_en,name_ar,desc_en,price,price_small,price_medium,price_large,calories,available
"i001","1","Fume Menu","Breakfast","الفطور",".","","Lebanese Breakfast","الفطور اللبناني","Apple or Chilled Fruit Juice (Apple, Pineapple, Exotic) | Foul Moudammas Plate | Lebanese Labneh Plate | Assorted Lebanese Cheese Plate | Fresh Mixed Vegetables, Pickles & Olives Plate | Arabic Bread | Lebanese Kunafa | Halawi Plate | Two Eggs: with your choice of (Awarma, Shakshouka, Sojouk) | Tea, Coffee or Hot Chocolate)","24","","","","","true"
"i002","2","Fume Menu","Breakfast","الفطور",".","","Continental Breakfast","الفطور الكونتيننتال","Apple or Chilled Fruit Juice (Apple, Pineapple, Exotic) | Freshly Baked: Croissant, Danish, Bread Rolls & Toast | Honey, Jam & Butter | Tea, Coffee or Chocolate","22","","","","","true"
"i003","3","Fume Menu","Breakfast","الفطور",".","","Cold Cuts Plate","طبق لحوم باردة مشكلة","Smoked Turkey, Beef Mortadella, Chicken Mortadella and Bresaola","12","","","","","true"
"i004","4","Fume Menu","Breakfast","الفطور",".","","Lebanese Cheese Plate","طبق أجبان لبنانية","","14","","","","","true"
"i005","5","Fume Menu","Breakfast","الفطور",".","","International Cheese Plate","تشكيلة من الأجبان الأوروبية","Cheddar; Emmental; Goat Cheese & Kashkaval Served with bread basket (2 Pain-de-Mie; 2 Pita bread & 2 bread rolls).","18","","","","","true"
"i006","6","Fume Menu","Breakfast","الفطور",".","","3 Eggs","3 بيضات","","7","","","","","true"
"i007","7","Fume Menu","Breakfast","الفطور",".","","Mini Manakish","مناقيش صغيرة","","7","","","","","true"
"i008","8","Fume Menu","Breakfast","الفطور",".","","Foul Moudammas","فول مدمس","Served with vegetables plate; Pita bread and Olive oil","7","","","","","true"
"i009","9","Fume Menu","Breakfast","الفطور",".","","Pancake","بان كيك","3 Pancakes; Served with fresh Fruits & Maple Syrup","8","","","","","true"
"i010","10","Fume Menu","Breakfast","الفطور",".","","Jam & Butter","مربى و زبدة","Jam (Apricot & Strawberry); Honey & 2 Butter; served with bread basket; 2 bread rolls; 2 Pain-de-Mie & 2 Pita bread.","8","","","","","true"
"i011","11","Fume Menu","Starters","المقبلات",".","","Dynamite Shrimp","داينمايت شريمبس","Scallions, Spicy Sauce","15","","","","","true"
"i012","12","Fume Menu","Starters","المقبلات",".","","Truffle Parmesan Fries","ترافل بارميزون والبطاطا","","10","","","","","true"
"i013","13","Fume Menu","Starters","المقبلات",".","","Mexican Nachos","مكسيكان ناتشوز","Nachos Under Cheddar Cheese, Served With Jalapenos, Tomato Salsa, Guacamole & Sour Cream","15","","","","","true"
"i014","14","Fume Menu","Starters","المقبلات",".","","French Fries","بطاطا مقلية","","7","","","","","true"
"i015","15","Fume Menu","Starters","المقبلات",".","","Lentil Soup","شوربة العدس","","7","","","","","true"
"i016","16","Fume Menu","Lebanese Corner","الزاوية اللبنانية",".","","Fattoush","فتوش","","7","","","","","true"
"i017","17","Fume Menu","Lebanese Corner","الزاوية اللبنانية",".","","Tabbouleh","تبولة","","7","","","","","true"
"i018","18","Fume Menu","Lebanese Corner","الزاوية اللبنانية",".","","Caesar Salad","سلطة التشيكن سيزر","Crisp Iceberg Lettuce With Golden Croutons & Parmesan Cheese Shavings, Served With Caesar Dressing","10","","","","","true"
"i019","19","Fume Menu","Lebanese Corner","الزاوية اللبنانية",".","","Mixed Mouajanat","معجنات مشكلة","Sambousek, Kebbeh, Rakakat Cheese","15","","","","","true"
"i020","20","Fume Menu","Lebanese Corner","الزاوية اللبنانية",".","","Hummus","حمص","","6","","","","","true"
"i021","21","Fume Menu","Lebanese Corner","الزاوية اللبنانية",".","","Moutabal","متبل","","6","","","","","true"
"i022","22","Fume Menu","Lebanese Corner","الزاوية اللبنانية",".","","Vine Leaves","ورق عنب","","7","","","","","true"
"i023","23","Fume Menu","Lebanese Corner","الزاوية اللبنانية",".","","Labneh Plate","صحن لبنة","Served with vegetables plate; Pita bread and Olive oil","7","","","","","true"
"i024","24","Fume Menu","Lebanese Corner","الزاوية اللبنانية",".","","Hummus with Meat","حمص باللحم","","12","","","","","true"
"i025","25","Fume Menu","Lebanese Corner","الزاوية اللبنانية",".","","Spicy Potato","بطاطا حارة","","7","","","","","true"
"i026","26","Fume Menu","Lebanese Corner","الزاوية اللبنانية",".","","Makanek","مقانق","","10","","","","","true"
"i027","27","Fume Menu","Lebanese Corner","الزاوية اللبنانية",".","","Soujouk","سجق","","10","","","","","true"
"i028","28","Fume Menu","Lebanese Corner","الزاوية اللبنانية",".","","Earthquake Salad","سلطة إيرثكويك","Grilled Shrimps, Crunchy Leaves, Fresh Pomegranate Seeds, Mushrooms & Cherry Tomatoes, Served With Basil Mayo Dressing.","18","","","","","true"
"i029","29","Fume Menu","Sandwiches","الساندويتشات",".","","Plaza Burger","برغر بلازا","Our homemade char-grilled beef to perfection, Cheddar cheese, grilled Tomato & sautéed mushrooms, served with our special dressing","16","","","","","true"
"i030","30","Fume Menu","Sandwiches","الساندويتشات",".","","Club Sandwich","كلوب ساندويش","Grilled Chicken in Pain Demi, Fried Eggs, Turkey Bacon, Tomato & Lettuce","16","","","","","true"
"i031","31","Fume Menu","Sandwiches","الساندويتشات",".","","NY Steak Sandwich","نيو يورك ستيك سندويش","Sautéed Beef With Bell Pepper, Fresh Mushrooms, Caramelized Onions & Cheddar Cheese","19","","","","","true"
